 numero_reimpresiones, puntos_vta1anio_total, materia3, tirada, ejemplares_distribuidos_en_novedad, obsequios, pvp, reimpresiones, editorial, materia2, encuadernacion, venta_total, semanas_venta, coleccion, puntos_vta_total, materia1
864,42,,890,205,0,   14.42,28,UDLW10,,0,-64,133,UDLW10002,52,
97,132,,1861,796,6,   16.35,13,UDLW10,,3,216,137,UDLW10002,140,111
65,228,,2815,1335,6,   17.31,11,UDLW10,,3,484,136,UDLW10002,239,111
45,188,,1197,729,6,   19.23,9,UDLW10,,3,313,107,UDLW10002,192,111
39,155,,1179,806,8,   15.38,8,UDLW10,,3,667,109,UDLW10002,163,111
29,141,,1469,721,9,   17.31,8,UDLW10,,3,143,99,UDLW10002,145,112
61,184,,1501,811,7,   17.31,8,UDLW10,,3,303,100,UDLW10002,187,111
107,270,,1510,1201,9,   19.23,8,UDLW10,,3,227,89,UDLW10002,274,112
80,144,,1400,709,8,   18.27,10,UDLW10,,3,730,87,UDLW10002,156,111
41,216,,1506,943,10,   17.31,7,UDLW10,118,3,193,81,UDLW10002,217,112
19,78,,968,378,7,   14.42,5,UDLW10,,3,60,55,UDLW10002,79,111
37,137,,986,533,7,   14.42,5,UDLW10,,3,331,56,UDLW10002,139,111
722,28,,758,91,0,    9.13,25,UDLW10,,0,47,136,UDLW10003,39,
541,39,,563,118,0,   11.54,23,UDLW10,,0,59,132,UDLW10003,71,
512,28,,533,96,0,   10.58,25,UDLW10,,0,23,136,UDLW10003,40,
1407,16,,1462,94,0,   12.50,26,UDLW10,,10,0,136,UDLW10003,23,
1586,17,,1613,69,0,   10.58,23,UDLW10,,10,-8,136,UDLW10003,21,
1564,15,,1630,102,0,   11.54,23,UDLW10,,10,10,136,UDLW10003,28,
1360,25,,1431,135,0,   11.54,26,UDLW10,,10,16,135,UDLW10003,36,
299,42,,316,97,0,   10.58,24,UDLW10,,0,78,136,UDLW10003,63,
1305,29,,1327,81,0,   12.02,22,UDLW10,,10,6,136,UDLW10003,39,
760,18,,802,85,0,   13.46,25,UDLW10,,0,-1,132,UDLW10003,26,
1524,24,,1539,56,0,   11.54,19,UDLW10,,,1,132,UDLW10003,30,
1585,16,,1600,42,0,   10.58,23,UDLW10,,0,-1,132,UDLW10003,22,
1690,19,,3118,76,0,   12.50,25,UDLW10,,0,-5,136,UDLW10003,24,
1231,30,,1252,93,0,   12.98,27,UDLW10,,0,29,136,UDLW10003,41,
1657,29,,1680,74,0,   11.54,25,UDLW10,,0,60,136,UDLW10003,43,
810,31,,834,97,0,   12.50,28,UDLW10,,0,25,135,UDLW10003,44,
813,21,,837,76,0,   11.54,25,UDLW10,,0,-18,132,UDLW10003,31,
